Показник,Територіальний розріз,Напрям природоохоронної діяльності,Вид економічної діяльності,Періодичність,Період,Значення cпостереження
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,685507200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,316995400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,271189000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Очищення зворотних вод,Усього,Річна,2021,44981600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Очищення зворотних вод,Усього,Річна,2022,612200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Очищення зворотних вод,Усього,Річна,2023,61932000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Очищення зворотних вод,Усього,Річна,2024,79758700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Очищення зворотних вод,Усього,Річна,2025,73721700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,1165492300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,51859900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,927400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2021,1835600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,15154100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,779500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2021,2724300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2023,137600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Інші напрями природоохоронної діяльності,Усього,Річна,2021,52500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Радіаційна безпека,Усього,Річна,2022,17400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Поводження з відходами,Усього,Річна,2021,233123300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Поводження з відходами,Усього,Річна,2022,8446100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Поводження з відходами,Усього,Річна,2023,38519400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Поводження з відходами,Усього,Річна,2024,133583400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Донецька,Поводження з відходами,Усього,Річна,2025,3836600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Очищення зворотних вод,Усього,Річна,2021,5678400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Очищення зворотних вод,Усього,Річна,2022,5020200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Очищення зворотних вод,Усього,Річна,2023,18938700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Очищення зворотних вод,Усього,Річна,2024,41083400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Очищення зворотних вод,Усього,Річна,2025,6567500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2024,3184500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2025,30700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,202800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Збереження біорізноманіття та середовища існування,Усього,Річна,2022,8747900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Збереження біорізноманіття та середовища існування,Усього,Річна,2023,261899.99999999997
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,18920700.0
